ID,Title,Genres,movieId,tmdbId,Overview,Keyword,Network
140,Up Close and Personal (1996),Drama|Romance,140.0,9302.0,"Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart...","career, miami, florida, affectation, reporter, candid, intimate, absurd, admiring, adoring, amused, informative, sympathetic, vibrant",Cinergi Pictures
141,"Birdcage, The (1996)",Comedy,141.0,11000.0,A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.,"coming out, florida, homophobia, drag queen, nightclub, senator, politician, based on play or musical, remake, conservative, cross dressing, gay parent, lgbt, political conflict, south beach, playing straight, drag club",United Artists
144,"Brothers McMullen, The (1995)",Comedy,144.0,16388.0,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s.","love, best friend, true love, irish catholic, independent film",Videography
145,Bad Boys (1995),Action,145.0,9737.0,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","miami, florida, mexican standoff, male friendship, witness protection, stripper, car crash, strip club, internal affairs, police corruption, gunfight, foot chase, drug lord, murder investigation, nostalgic, hangar, loose cannon, buddy cop, male camaraderie, narcotics detective, action hero, buddy movie, murder witness, stolen drugs, awestruck",Columbia Pictures
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,146.0,30765.0,"Far from home in the lush bamboo forests of China, ten-year-old Ryan Tyler, with the help of a young girl, goes on a wonderful journey to rescue a baby panda taken by poachers.","china, panda, poacher, animals",Warner Bros. Pictures
147,"Basketball Diaries, The (1995)",Drama,147.0,10474.0,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,"new york city, sports, heroin, addiction, basketball, friends, based on memoir or autobiography, drugs, 1960s, school suspension, gay theme, teenager",Island Pictures
148,"Awfully Big Adventure, An (1995)",Drama,148.0,22279.0,"Liverpool. 1947. Right after World War II, a star struck naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexual politics and intrigue and learns about the grown-up world of the theater.","based on novel or book, england, liverpool, england, theatre company, 1940s",Fine Line Features
149,Amateur (1994),Crime|Drama|Thriller,149.0,30157.0,"A man wakes up in an alley, bleeding and with no memory of who he is. He stumbles into a coffee shop and is befriended by a charitable ex-nun who is failing in her attempts to write marketable pornography.",baffled,UGC
150,Apollo 13 (1995),Drama,150.0,568.0,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","rescue, florida, race against time, moon, nasa, spaceman, based on true story, houston, texas, survival, space, disaster, explosion, astronaut, hypothermia, apollo program, lunar mission, spacecraft accident",Imagine Entertainment
151,Rob Roy (1995),Drama|Romance|War,151.0,11780.0,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.","scotland, affectation, biography, 18th century, highlands, violent man, scottish highlands, joyous, hopeful",United Artists
152,"Addiction, The (1995)",Horror,152.0,34996.0,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,"new york city, vampire, philosophy, addiction",Fast Films
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,153.0,414.0,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.","riddle, superhero, villain, rose, based on comic, partner, robin, broken neck, psychologist, criminal, district attorney, millionaire, super power, falling down stairs, tied up, beretta, knocked out, disfigurement, father figure, good versus evil",Warner Bros. Pictures
154,Belle de jour (1967),Drama,154.0,649.0,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.","adultery, prostitute, jealousy, dreams, husband wife relationship, dual identity, double life, sexual frustration, brothel, women's sexual identity, masochism, sexual exploration",Paris Films Productions
155,Beyond Rangoon (1995),Drama|War,155.0,1873.0,Dr. Laura Bowman is a young widow who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s. Bowman initially left San Francisco with her sister in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.,"burma, rangoon, doctor",Castle Rock Entertainment
156,Blue in the Face (1995),Comedy,156.0,5894.0,"A wacky group of locals visit the neighborhood cigar shop, looking for good times and finding plenty of hilarious fun. But when the greedy owner threatens to close the shop for good and turn it into a trendy vegetarian restaurant, the neighborhood proves they'll do just about anything to save their favorite hangout.","smoking, corner shop, cigarette, tobacco",InterAL
157,Canadian Bacon (1994),Comedy|War,157.0,1775.0,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war with Canada.","the white house, political satire, international relations, war plan red",PolyGram Filmed Entertainment
158,Casper (1995),Adventure|Children's,158.0,8839.0,"Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics.","friendship, afterlife, supernatural, halloween, bullying, treasure hunt, based on comic, friends, teenage girl, ghost hunting, super power, psychiatry, ghost, disorder, young heroes, imaginary, mischievous children, ghost child, mischief, unfinished business, hilarious",The Harvey Entertainment Company
159,Clockers (1995),Drama,159.0,20649.0,"Strike is a young city drug pusher under the tutelage of drug lord Rodney Little. When a night manager at a fast-food restaurant is found with four bullets in his body, Strike’s older brother turns himself in as the killer. Detective Rocco Klein doesn’t buy the story, however, setting out to find the truth, and it seems that all the fingers point toward Strike & Rodney.","drug pusher, train, drugs, drug lord, brooklyn, new york city, housing project, inner city life",40 Acres and a Mule Filmworks
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,160.0,10329.0,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa, where human greed and the laws of nature have gone berserk.","based on novel or book, diamond, gorilla, congo, diamond mine, tribe, survival, ancient civilization, zoologist",Paramount Pictures
161,Crimson Tide (1995),Drama|Thriller|War,161.0,8963.0,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.","mutiny, submarine, missile, embassy, nuclear missile, battle for power, u.s. navy, terrorism, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar, nuclear submarine, direct, suspenseful, commanding",Hollywood Pictures
162,Crumb (1994),Documentary,162.0,26564.0,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, ex-wife and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.","underground, san francisco, california, fetish, artist, nerd, biography, counter-culture, drawing, art, swinging 60s, ec comics, brothers",Superior Pictures
163,Desperado (1995),Action|Romance|Thriller,163.0,8068.0,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.","gunslinger, showdown, mexico, ambush, hitman, guitar, anti terror, bartender, revenge, tragic hero, shootout, mariachi, explosion, brutality, drug lord, leg brace, concealed weapon, book store",Columbia Pictures
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,164.0,8512.0,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.","based on novel or book, war veteran, jazz club, murder, los angeles, california, biting, private detective, missing person, framed for a crime, aggressive, neo-noir, 1940s, complex, egotistical",Mundy Lane Entertainment
165,Die Hard: With a Vengeance (1995),Action|Thriller,165.0,1572.0,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.","new york city, taxi, gold, helicopter, robbery, police, bomb, riddle, detective, fbi, sequel, flashback, revenge, shootout, explosion, nypd, cargo ship, wild goose chase, simon says, dump truck, harlem, new york city, aqueduct, bomb threat, action hero, deadly game, federal reserve bank, nyc subway",20th Century Fox
166,"Doom Generation, The (1995)",Comedy|Drama,166.0,13552.0,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.","friendship, california, robbery, nazi, nihilism, eroticism, blow job, controversy, punk rock, surrealism, severed head, drifter, on the road, threesome, shoplifting, polyamory, voyeur, shocking, aggressive, crystal meth, intense, bold",Blurco
168,First Knight (1995),Action|Adventure|Drama|Romance,168.0,6520.0,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.","camelot, betrayal, knight, king arthur, love affair, excalibur, knights of the round table, lancelot",First Knight Productions
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,169.0,9073.0,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,"whale, human animal relationship, killer whale",Alcor Films
170,Hackers (1995),Action|Crime|Thriller,170.0,10428.0,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.","new york city, computer, hacker, computer virus, virtual reality, prank, internet, cyberpunk, hacking, secret service, dream sequence, playful, enthusiastic, informative, instructive",Suftley
171,Jeffrey (1995),Comedy,171.0,17447.0,"Jeffrey, a gay man living in New York City with an overwhelming fear of contracting AIDS, concludes that being celibate is the only option to protect himself. As fate would have it, shortly after his declaration of a sex-free existence, he meets the handsome Steve Howard, his dream man -- except for his HIV-positive status. Facing this dilemma, Jeffrey turns to his best friend and an outrageous priest for guidance.","new york city, aids, celibacy, based on play or musical, hiv, priest, fate, manhattan, new york city, 1990s, gay friend, male male relationship, gay theme",The Booking Office
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,172.0,9886.0,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.","virtual reality, dystopia, pharmaceutical industry, computer chip, courier, cyber, cyberpunk, cyberspace, based on short story",TriStar Pictures
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,173.0,9482.0,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.","corruption, judge, dystopia, superhero, post-apocalyptic future, villain, trial, based on comic, cyberpunk, police officer, revenge motive, justice, based on graphic novel, frame up, law enforcement, framed for murder, gene, prosthetic limb, dna testing, domineering, futuristic city, action hero, good versus evil, ridiculous",Cinergi Pictures
174,Jury Duty (1995),Comedy,174.0,19326.0,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does everything he can to prolong the trial and deliberations and make the sequestration more comfortable for himself.","stripper, jury, jury duty, verdict",TriStar Pictures
175,Kids (1995),Drama,175.0,9344.0,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.","puberty, first time, new york city, drug abuse, coming of age, hiv, juvenile delinquent, shoplifting, underage sex, sexually transmitted disease, sleeping around, complex, juvenile delinquency, independent film, banned film, critical, disgusted",The Guys Upstairs
176,Living in Oblivion (1995),Comedy,176.0,9071.0,"Low-budget independent filmmaker Nick Reve tries to keep everything together as his production is plagued with an insecure actress, a megalomaniac star, a pretentious beret-wearing director of photography, and lousy catering.","film in film, vomiting, 1990s, crying man, low-budget filmmaking",JDI productions
177,Lord of Illusions (1995),Horror,177.0,8973.0,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.","supernatural, fanatic, resurrection, occult, sect, wizard, occult detective",United Artists
178,Love & Human Remains (1993),Comedy,178.0,15730.0,"In a Canadian metropolis, failed actor David shares a place with the bookish Candy, whom he dated before coming out as gay. While David, who now waits tables, pursues an aimless romance with a younger coworker, Candy dabbles in both same-sex and heterosexual affairs. As David and Candy's odd assortment of friends — including a telepathic sex worker and an ill-tempered yuppie — pass in and out of their beds, a serial murder stalks the city's women.","gay theme, lesbian",Atlantis Films
179,Mad Love (1995),Drama|Romance,179.0,47608.0,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.","high school, suicide attempt, affectation, college, melancholy, road trip, teen angst, mental institution, teenage love, mental illness, troubled teen, woman director, teenage romance, angry, paranoid, aggressive, candid, philosophical, absurd, admiring, adoring, ambiguous, ambivalent, amused, exuberant, melodramatic",Touchstone Pictures
180,Mallrats (1995),Comedy,180.0,2293.0,"Both dumped by their girlfriends, two best friends seek refuge in the local mall. Eventually, they decide to try and win back their significant others and take care of their respective nemeses.","game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, silent man, coke, bandleader, aftercreditsstinger",Gramercy Pictures
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,181.0,9070.0,"Six incredible teens out-maneuver and defeat evil everywhere as the Mighty Morphin Power Rangers, but this time the Power Rangers may have met their match when they face off with Ivan Ooze, the most sinister monster the galaxy has ever seen.","superhero team, ethnic diversity, mmpr, absurd, amused, antagonistic, enthusiastic",Saban Entertainment
183,Mute Witness (1994),Thriller,183.0,48787.0,"When a mute makeup/special effects artist working on a low-budget slasher film gets locked in a dilapidated Moscow movie studio late one night, she thinks she witnesses the making of a snuff film. Thus begins a night of terror.","police, chase, snuff, murder, mute, disk",Avrora Media
184,Nadja (1994),Drama,184.0,34574.0,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.","new york city, vampire",Kino Link Company
185,"Net, The (1995)",Sci-Fi|Thriller,185.0,1642.0,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.","california, assassin, mexico, computer program, computer virus, therapist, new identity, secret organization, vacation, on the run, conspiracy, hacking, internet chat, ill mother, loner, computer programming, hospitalization, analyst, cyber terrorism, computer programmer, single woman, surveillance state, internet surveillance, erased, computer disc, stolen life, santa monica pier, imposter",Columbia Pictures
186,Nine Months (1995),Comedy,186.0,11472.0,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","baby, parent child relationship, pregnancy, marriage, desire to have children",1492 Pictures
187,Party Girl (1995),Comedy,187.0,36196.0,"Although Mary has little income, she still finds ways to spend her nights at clubs. After being arrested for throwing an illegal rave, she asks her aunt Judy for bail money. Judy then finds Mary a job at her library so that Mary can repay her. Initially, Mary finds the job as a clerk boring and stifling, and prefers to get to know a street food vendor whom she likes. However, Mary must refocus her life once she loses her job and apartment.","new york city, library, nightclub, rave, free spirit, dj, woman director, librarian, food vendor, playful, independent film, party, witty, enthusiastic, hopeful",Party Productions
188,"Prophecy, The (1995)",Horror,188.0,11980.0,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.","angel, archangel gabriel",Overseas FilmGroup
189,Reckless (1995),Comedy,189.0,58372.0,"On Christmas Eve, a relentlessly cheerful woman escapes from the killers hired by her husband, and embarks on a series of strange encounters.","trauma, game show, female protagonist, christmas",American Playhouse
190,Safe (1995),Thriller,190.0,32646.0,"Carol White, a Los Angeles housewife in the late 1980s, comes down with a debilitating illness with no clear diagnosis.","pollution, quarantine, chemical, allegory, housewife, medicine, suburbia, female protagonist, allergy, disease, psychiatrist, illness, san fernando valley, disorder, retreat, 1980s, enviromentalism, multiple chemical sensitivity (mcs), environmental illness, chronic illness",American Playhouse
191,"Scarlet Letter, The (1995)",Drama,191.0,10533.0,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.","based on novel or book, boston, massachusetts, pregnancy, witch burning, puritan, period drama, extramarital affair, 17th century",Cinergi Pictures
193,Showgirls (1995),Drama,193.0,10802.0,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way.","dancing, go-go dancer, striptease, spanner, affectation, seduction, sexappeal, strip club, rivalry, las vegas, malicious, showgirls, cautionary, provocative, dramatic, dancing girls, incredulous, egotistical, bitter, admiring, callous, mean spirited, melodramatic",Chargeurs
194,Smoke (1995),Drama,194.0,10149.0,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.","smoking, robber, cigarette, laden, writer",Miramax
195,Something to Talk About (1995),Comedy|Drama|Romance,195.0,18402.0,"Grace King Bichon, who is managing her father's riding-stable, discovers that her husband Eddie is deceiving her with another woman. After confronting him in the middle of the night on the streets of their small home town, she decides to stay at her sister Emma Rae's house for a while to make up her mind. Breaking out of her everyday life, she starts to question the authority of everyone.","horse, based on true story, family, savannah georgia",Hawn / Sylbert Movie Company
196,Species (1995),Horror|Sci-Fi,196.0,9348.0,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.","genetics, telepathy, paranoia, dna, transformation, instinct, alien, femme fatale, decapitation, on the run, sexual attraction, los angeles, california, creature, scientist, sexual desire, cocoon, genetic engineering, interspecies romance, alien dna, amused",Metro-Goldwyn-Mayer
198,Strange Days (1995),Action|Crime|Sci-Fi,198.0,281.0,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.","new year's eve, future, pornography, prostitute, police brutality, dreams, rape, police, virtual reality, paranoia, ex-girlfriend, bodyguard, rapper, dystopia, minidisc, ex-cop, murder, cyberpunk, los angeles, california, criminal, private detective, revolt, tech noir, woman director",Lightstorm Entertainment
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,199.0,5967.0,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.","car mechanic, letter, normandy, france, musical, single, umbrella, 1950s, 1960s, somber, cherbourg, france, earnest",Parc Film
201,Three Wishes (1995),Drama,201.0,47939.0,"While Jane Holman is driving with her two sons, she accidentally runs into a drifter, Jack McCloud, who breaks his leg. Being responsible, Jane invites Jack, and his dog, to stay at her home until his leg has healed. Jack struggles to adapt their lifestyle, and finds himself loved by the family.","baseball, korean war (1950-53), drifter, dog, woman director",Savoy Pictures
202,Total Eclipse (1995),Drama|Romance,202.0,36834.0,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.","paris, france, mentor, poet, biography, based on play or musical, lgbt, woman director, 19th century, gay theme",FIT Production
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,203.0,9090.0,"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.","new york city, transvestism, homophobia, drag queen, road trip, travel, drag, woman director, mischievous, amused, comforting, vibrant",Amblin Entertainment
204,Under Siege 2: Dark Territory (1995),Action,204.0,3512.0,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.","pentagon, u.s. air force, satellite, u.s. navy seal, train, terrorism, cyber terrorism, action hero, good versus evil",Regency Enterprises
205,Unstrung Heroes (1995),Comedy|Drama,205.0,52856.0,"Steven Lidz, unhappy with his home life since his mother became sick, moves in with his two eccentric uncles. As Steven grows closer to his uncles, he learns how to cope with his emotions and to value his own uniqueness.",woman director,Hollywood Pictures
206,Unzipped (1995),Documentary,206.0,77350.0,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection.",fashion,Hachette Filipacchi Films
207,"Walk in the Clouds, A (1995)",Drama|Romance,207.0,9560.0,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,"pregnancy, world war ii, vineyard, love, remake, harvest, grape, abandoned woman, admiring, adoring, assertive, celebratory, familiar",Zucker Brothers Productions
208,Waterworld (1995),Action|Adventure,208.0,9804.0,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'—which is tattooed on Enola's back.","sailboat, human evolution, tattoo, ocean, mutant, pirate gang, pirate, melting ice caps, oil tanker, barmaid, free diving, water planet, environmental disaster, reluctant hero, underwater fight, new species of human, genetic mutation, survival at sea, special child, futuristic world",Gordon Company
209,White Man's Burden (1995),Drama,209.0,31611.0,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice.","dystopia, black white relations, angry, alternate universe, introspective, arrogant",UGC
210,Wild Bill (1995),Western,210.0,65796.0,Biopic about famous gunslinger Wild Bill Hickock. The early career of legendary lawman is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,"loss of eyesight, opium, biography, sioux, wild bill hickok, calamity jane",United Artists
212,Bushwhacked (1995),Comedy,212.0,26258.0,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.","cave, mistaken identity, waterfall, boy scouts leader",20th Century Fox
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,213.0,50797.0,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...","husband wife relationship, colonel",Studio Trite
214,Before the Rain (Pred dozhdot) (1994),Drama,214.0,19155.0,"The circularity of violence seen in a story that circles on itself. In Macedonia, during the war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.","london, england, monk, mountain, restaurant, war photographer, fashion photographer, albanian, macedonia, guerra da bósnia",British Screen Productions
215,Before Sunrise (1995),Drama|Romance,215.0,76.0,"An unexpected meeting on a train leads two travelers to spend an evening wandering through Vienna. As the night unfolds, they share stories and conversations about life and love, exploring new ideas while a quiet intimacy grows between them, knowing it may be their only night together.","talking, soulmates, walking, austria, vienna, austria, semi autobiographical, playful, cliché",Castle Rock Entertainment
216,Billy Madison (1995),Comedy,216.0,11017.0,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.","family business , school, woman director, back to school",Jack Giarraputo Productions
217,"Babysitter, The (1995)",Drama|Thriller,217.0,37141.0,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.","alcohol, obsession, babysitter, parents",Spelling Films International
218,Boys on the Side (1995),Comedy|Drama,218.0,9382.0,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Jane's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another.","friendship, escape, aids, homophobia, homicide, roommates, car journey, female friendship, road trip, friends, domestic violence, fresh start, abusive boyfriend, lesbian, chosen family",Regency Enterprises
